,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
1612023192597338,409.2,0.0,0.0,0.0,0.0
1612023192601338,409.0,0.0,0.0,0.0,0.0
1612023192605338,409.1,0.0,0.0,0.0,0.0
1612023192609338,408.8,0.0,0.0,0.0,0.0
1612023192613338,408.9,0.0,0.0,0.0,0.0
1612023192617338,408.4,0.0,0.0,0.0,0.0
1612023192621338,408.3,0.0,0.0,0.0,0.0
1612023192625338,408.8,0.0,0.0,0.0,0.0
1612023192629338,408.4,0.0,0.0,0.0,0.0
1612023192633338,409.3,0.0,0.0,0.0,0.0
1612023192637338,409.2,0.0,0.0,0.0,0.0
1612023192641338,409.0,0.0,0.0,0.0,0.0
1612023192645338,409.0,0.0,0.0,0.0,0.0
1612023192649338,409.4,0.0,0.0,0.0,0.0
1612023192653338,408.8,0.0,0.0,0.0,0.0
1612023192657338,407.0,0.0,0.0,0.0,0.0
1612023192661338,408.6,0.0,0.0,0.0,0.0
1612023192665338,408.7,0.0,0.0,0.0,0.0
1612023192669338,409.0,0.0,0.0,0.0,0.0
1612023192673338,408.7,0.0,0.0,0.0,0.0
1612023192677338,408.7,0.0,0.0,0.0,0.0
1612023192681338,408.6,0.0,0.0,0.0,0.0
1612023192685338,408.7,0.0,0.0,0.0,0.0
1612023192689338,409.2,0.0,0.0,0.0,0.0
1612023192693338,408.4,0.0,0.0,0.0,0.0
1612023192697338,408.9,0.0,0.0,0.0,0.0
1612023192701338,410.3,0.0,0.0,0.0,0.0
1612023192705338,409.0,0.0,0.0,0.0,0.0
1612023192709338,408.7,0.0,0.0,0.0,0.0
1612023192713338,408.8,0.0,0.0,0.0,0.0
1612023192717338,408.7,0.0,0.0,0.0,0.0
1612023192721338,408.9,0.0,0.0,0.0,0.0
1612023192725338,408.7,0.0,0.0,0.0,0.0
1612023192729338,409.0,0.0,0.0,0.0,0.0
1612023192733338,408.9,0.0,0.0,0.0,0.0
1612023192737338,409.0,0.0,0.0,0.0,0.0
1612023192741338,408.9,0.0,0.0,0.0,0.0
1612023192745338,408.8,0.0,0.0,0.0,0.0
1612023192749338,408.7,0.0,0.0,0.0,0.0
1612023192753338,409.0,0.0,0.0,0.0,0.0
1612023192757338,409.0,0.0,0.0,0.0,0.0
1612023192761338,409.1,0.0,0.0,0.0,0.0
1612023192765338,408.7,0.0,0.0,0.0,0.0
1612023192769338,409.2,0.0,0.0,0.0,0.0
1612023192773338,408.7,0.0,0.0,0.0,0.0
1612023192777338,409.1,0.0,0.0,0.0,0.0
1612023192781338,409.1,0.0,0.0,0.0,0.0
1612023192785338,408.4,0.0,0.0,0.0,0.0
1612023192789191,409.2,0.0,0.0,0.0,0.0
1612023192793191,409.6,0.0,0.0,0.0,0.0
1612023192797191,409.0,0.0,0.0,0.0,0.0
1612023192801191,408.9,0.0,0.0,0.0,0.0
1612023192805191,409.2,0.0,0.0,0.0,0.0
1612023192809191,408.6,0.0,0.0,0.0,0.0
1612023192813191,408.8,0.0,0.0,0.0,0.0
1612023192817191,408.7,0.0,0.0,0.0,0.0
1612023192821191,408.7,0.0,0.0,0.0,0.0
1612023192825191,409.0,0.0,0.0,0.0,0.0
1612023192829191,408.0,0.0,0.0,0.0,0.0
1612023192833191,409.2,0.0,0.0,0.0,0.0
1612023192837191,408.5,0.0,0.0,0.0,0.0
1612023192841191,409.7,0.0,0.0,0.0,0.0
1612023192845191,408.9,0.0,0.0,0.0,0.0
1612023192849191,408.7,0.0,0.0,0.0,0.0
1612023192853191,408.7,0.0,0.0,0.0,0.0
1612023192857191,409.4,0.0,0.0,0.0,0.0
1612023192861191,408.9,0.0,0.0,0.0,0.0
1612023192865191,408.7,0.0,0.0,0.0,0.0
1612023192869191,408.5,0.0,0.0,0.0,0.0
1612023192873191,408.6,0.0,0.0,0.0,0.0
1612023192877191,408.5,0.0,0.0,0.0,0.0
1612023192881191,409.5,0.0,0.0,0.0,0.0
1612023192885191,410.2,0.0,0.0,0.0,0.0
1612023192889191,408.7,0.0,0.0,0.0,0.0
1612023192893191,408.8,0.0,0.0,0.0,0.0
1612023192897191,408.9,0.0,0.0,0.0,0.0
1612023192901191,409.0,0.0,0.0,0.0,0.0
1612023192905191,408.9,0.0,0.0,0.0,0.0
1612023192909191,409.2,0.0,0.0,0.0,0.0
1612023192913191,408.9,0.0,0.0,0.0,0.0
1612023192917191,408.9,0.0,0.0,0.0,0.0
1612023192921191,408.8,0.0,0.0,0.0,0.0
1612023192925191,409.5,0.0,0.0,0.0,0.0
1612023192929191,409.6,0.0,0.0,0.0,0.0
1612023192933191,408.9,0.0,0.0,0.0,0.0
1612023192937191,408.4,0.0,0.0,0.0,0.0
1612023192941191,409.2,0.0,0.0,0.0,0.0
1612023192945191,408.7,0.0,0.0,0.0,0.0
1612023192949191,409.2,0.0,0.0,0.0,0.0
1612023192953191,409.1,0.0,0.0,0.0,0.0
1612023192957191,408.8,0.0,0.0,0.0,0.0
1612023192961191,408.4,0.0,0.0,0.0,0.0
1612023192965191,409.2,0.0,0.0,0.0,0.0
1612023192969191,408.6,0.0,0.0,0.0,0.0
1612023192973191,408.2,0.0,0.0,0.0,0.0
1612023192977191,406.1,0.0,0.0,0.0,0.0
1612023192981028,408.6,0.0,0.0,0.0,0.0
1612023192985028,408.4,0.0,0.0,0.0,0.0
1612023192989028,408.6,0.0,0.0,0.0,0.0
1612023192993028,407.9,0.0,0.0,0.0,0.0
1612023192997028,408.6,0.0,0.0,0.0,0.0
1612023193001028,408.4,0.0,0.0,0.0,0.0
1612023193005028,408.2,0.0,0.0,0.0,0.0
1612023193009028,408.2,0.0,0.0,0.0,0.0
1612023193013028,408.4,0.0,0.0,0.0,0.0
1612023193017028,409.0,0.0,0.0,0.0,0.0
1612023193021028,408.3,0.0,0.0,0.0,0.0
1612023193025028,408.8,0.0,0.0,0.0,0.0
1612023193029028,408.6,0.0,0.0,0.0,0.0
1612023193033028,408.7,0.0,0.0,0.0,0.0
1612023193037028,408.2,0.0,0.0,0.0,0.0
1612023193041028,408.3,0.0,0.0,0.0,0.0
1612023193045028,408.7,0.0,0.0,0.0,0.0
1612023193049028,408.3,0.0,0.0,0.0,0.0
1612023193053028,408.5,0.0,0.0,0.0,0.0
1612023193057028,408.3,0.0,0.0,0.0,0.0
1612023193061028,407.7,0.0,0.0,0.0,0.0
1612023193065028,408.3,0.0,0.0,0.0,0.0
1612023193069028,408.4,0.0,0.0,0.0,0.0
1612023193073028,408.5,0.0,0.0,0.0,0.0
1612023193077028,408.3,0.0,0.0,0.0,0.0
1612023193081028,408.5,0.0,0.0,0.0,0.0
1612023193085028,408.5,0.0,0.0,0.0,0.0
1612023193089028,408.3,0.0,0.0,0.0,0.0
1612023193093028,408.1,0.0,0.0,0.0,0.0
1612023193097028,408.1,0.0,0.0,0.0,0.0
1612023193101028,408.1,0.0,0.0,0.0,0.0
1612023193105028,407.7,0.0,0.0,0.0,0.0
1612023193109028,408.3,0.0,0.0,0.0,0.0
1612023193113028,408.6,0.0,0.0,0.0,0.0
1612023193117028,408.5,0.0,0.0,0.0,0.0
1612023193121028,408.6,0.0,0.0,0.0,0.0
1612023193125028,408.3,0.0,0.0,0.0,0.0
1612023193129028,407.7,0.0,0.0,0.0,0.0
1612023193133028,408.2,0.0,0.0,0.0,0.0
1612023193137028,408.1,0.0,0.0,0.0,0.0
1612023193141028,407.9,0.0,0.0,0.0,0.0
1612023193145028,408.7,0.0,0.0,0.0,0.0
1612023193149028,408.9,0.0,0.0,0.0,0.0
1612023193153028,409.8,0.0,0.0,0.0,0.0
1612023193157028,410.8,0.0,0.0,0.0,0.0
1612023193161028,408.8,0.0,0.0,0.0,0.0
1612023193165028,408.1,0.0,0.0,0.0,0.0
1612023193169028,408.6,0.0,0.0,0.0,0.0
1612023193172874,408.4,0.0,0.0,0.0,0.0
1612023193176874,408.2,0.0,0.0,0.0,0.0
1612023193180874,408.5,0.0,0.0,0.0,0.0
1612023193184874,408.7,0.0,0.0,0.0,0.0
1612023193188874,408.3,0.0,0.0,0.0,0.0
1612023193192874,408.9,0.0,0.0,0.0,0.0
1612023193196874,407.9,0.0,0.0,0.0,0.0
1612023193200874,408.3,0.0,0.0,0.0,0.0
1612023193204874,408.6,0.0,0.0,0.0,0.0
1612023193208874,408.4,0.0,0.0,0.0,0.0
1612023193212874,408.4,0.0,0.0,0.0,0.0
1612023193216874,408.2,0.0,0.0,0.0,0.0
1612023193220874,408.5,0.0,0.0,0.0,0.0
1612023193224874,408.5,0.0,0.0,0.0,0.0
1612023193228874,408.2,0.0,0.0,0.0,0.0
1612023193232874,408.4,0.0,0.0,0.0,0.0
1612023193236874,408.3,0.0,0.0,0.0,0.0
1612023193240874,407.7,0.0,0.0,0.0,0.0
1612023193244874,408.3,0.0,0.0,0.0,0.0
1612023193248874,408.3,0.0,0.0,0.0,0.0
1612023193252874,408.9,0.0,0.0,0.0,0.0
1612023193256874,408.5,0.0,0.0,0.0,0.0
1612023193260874,408.8,0.0,0.0,0.0,0.0
1612023193264874,408.5,0.0,0.0,0.0,0.0
1612023193268874,408.6,0.0,0.0,0.0,0.0
1612023193272874,408.5,0.0,0.0,0.0,0.0
1612023193276874,408.6,0.0,0.0,0.0,0.0
1612023193280874,408.5,0.0,0.0,0.0,0.0
1612023193284874,409.3,0.0,0.0,0.0,0.0
1612023193288874,407.9,0.0,0.0,0.0,0.0
1612023193292874,409.4,0.0,0.0,0.0,0.0
1612023193296874,408.5,0.0,0.0,0.0,0.0
1612023193300874,408.3,0.0,0.0,0.0,0.0
1612023193304874,408.2,0.0,0.0,0.0,0.0
1612023193308874,408.9,0.0,0.0,0.0,0.0
1612023193312874,408.5,0.0,0.0,0.0,0.0
1612023193316874,407.9,0.0,0.0,0.0,0.0
1612023193320874,408.5,0.0,0.0,0.0,0.0
1612023193324874,408.7,0.0,0.0,0.0,0.0
1612023193328874,408.6,0.0,0.0,0.0,0.0
1612023193332874,408.1,0.0,0.0,0.0,0.0
1612023193336874,406.6,0.0,0.0,0.0,0.0
1612023193340874,408.1,0.0,0.0,0.0,0.0
1612023193344874,408.7,0.0,0.0,0.0,0.0
1612023193348874,408.7,0.0,0.0,0.0,0.0
1612023193352874,408.2,0.0,0.0,0.0,0.0
1612023193356874,408.6,0.0,0.0,0.0,0.0
1612023193360874,408.4,0.0,0.0,0.0,0.0
