,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
1612038031183646,400.7,0.0,0.0,0.0,0.0
1612038031187646,400.3,0.0,0.0,0.0,0.0
1612038031191646,401.4,0.0,0.0,0.0,0.0
1612038031195646,397.8,0.0,0.0,0.0,0.0
1612038031199646,400.6,0.0,0.0,0.0,0.0
1612038031203646,400.9,0.0,0.0,0.0,0.0
1612038031207646,401.0,0.0,0.0,0.0,0.0
1612038031211646,401.1,0.0,0.0,0.0,0.0
1612038031215646,400.7,0.0,0.0,0.0,0.0
1612038031219646,401.1,0.0,0.0,0.0,0.0
1612038031223646,400.8,0.0,0.0,0.0,0.0
1612038031227646,401.0,0.0,0.0,0.0,0.0
1612038031231646,400.1,0.0,0.0,0.0,0.0
1612038031235646,401.2,0.0,0.0,0.0,0.0
1612038031239646,401.0,0.0,0.0,0.0,0.0
1612038031243646,401.0,0.0,0.0,0.0,0.0
1612038031247646,401.2,0.0,0.0,0.0,0.0
1612038031251646,401.2,0.0,0.0,0.0,0.0
1612038031255646,401.0,0.0,0.0,0.0,0.0
1612038031259646,401.2,0.0,0.0,0.0,0.0
1612038031263646,401.0,0.0,0.0,0.0,0.0
1612038031267646,401.0,0.0,0.0,0.0,0.0
1612038031271646,400.7,0.0,0.0,0.0,0.0
1612038031275646,400.7,0.0,0.0,0.0,0.0
1612038031279646,400.3,0.0,0.0,0.0,0.0
1612038031283646,400.4,0.0,0.0,0.0,0.0
1612038031287646,400.4,0.0,0.0,0.0,0.0
1612038031291646,400.9,0.0,0.0,0.0,0.0
1612038031295646,401.3,0.0,0.0,0.0,0.0
1612038031299646,400.3,0.0,0.0,0.0,0.0
1612038031303646,400.1,0.0,0.0,0.0,0.0
1612038031307646,399.9,0.0,0.0,0.0,0.0
1612038031311646,400.1,0.0,0.0,0.0,0.0
1612038031315646,400.5,0.0,0.0,0.0,0.0
1612038031319646,400.3,0.0,0.0,0.0,0.0
1612038031323646,400.9,0.0,0.0,0.0,0.0
1612038031327646,399.4,0.0,0.0,0.0,0.0
1612038031331646,400.8,0.0,0.0,0.0,0.0
1612038031335646,400.9,0.0,0.0,0.0,0.0
1612038031339646,400.0,0.0,0.0,0.0,0.0
1612038031343646,401.1,0.0,0.0,0.0,0.0
1612038031347646,401.0,0.0,0.0,0.0,0.0
1612038031351646,400.6,0.0,0.0,0.0,0.0
1612038031355646,401.2,0.0,0.0,0.0,0.0
1612038031359646,400.8,0.0,0.0,0.0,0.0
1612038031363646,401.4,0.0,0.0,0.0,0.0
1612038031367646,400.4,0.0,0.0,0.0,0.0
1612038031371646,403.8,0.0,0.0,0.0,0.0
1612038031375491,399.9,0.0,0.0,0.0,0.0
1612038031379491,400.2,0.0,0.0,0.0,0.0
1612038031383491,400.3,0.0,0.0,0.0,0.0
1612038031387491,400.8,0.0,0.0,0.0,0.0
1612038031391491,401.0,0.0,0.0,0.0,0.0
1612038031395491,401.1,0.0,0.0,0.0,0.0
1612038031399491,400.8,0.0,0.0,0.0,0.0
1612038031403491,401.2,0.0,0.0,0.0,0.0
1612038031407491,400.8,0.0,0.0,0.0,0.0
1612038031411491,401.5,0.0,0.0,0.0,0.0
1612038031415491,401.0,0.0,0.0,0.0,0.0
1612038031419491,401.2,0.0,0.0,0.0,0.0
1612038031423491,400.5,0.0,0.0,0.0,0.0
1612038031427491,400.6,0.0,0.0,0.0,0.0
1612038031431491,400.5,0.0,0.0,0.0,0.0
1612038031435491,400.7,0.0,0.0,0.0,0.0
1612038031439491,400.9,0.0,0.0,0.0,0.0
1612038031443491,400.6,0.0,0.0,0.0,0.0
1612038031447491,400.5,0.0,0.0,0.0,0.0
1612038031451491,401.2,0.0,0.0,0.0,0.0
1612038031455491,401.1,0.0,0.0,0.0,0.0
1612038031459491,401.6,0.0,0.0,0.0,0.0
1612038031463491,396.7,0.0,0.0,0.0,0.0
1612038031467491,401.1,0.0,0.0,0.0,0.0
1612038031471491,400.6,0.0,0.0,0.0,0.0
1612038031475491,400.6,0.0,0.0,0.0,0.0
1612038031479491,400.5,0.0,0.0,0.0,0.0
1612038031483491,400.5,0.0,0.0,0.0,0.0
1612038031487491,401.1,0.0,0.0,0.0,0.0
1612038031491491,400.6,0.0,0.0,0.0,0.0
1612038031495491,400.6,0.0,0.0,0.0,0.0
1612038031499491,401.0,0.0,0.0,0.0,0.0
1612038031503491,400.7,0.0,0.0,0.0,0.0
1612038031507491,400.9,0.0,0.0,0.0,0.0
1612038031511491,400.9,0.0,0.0,0.0,0.0
1612038031515491,400.7,0.0,0.0,0.0,0.0
1612038031519491,401.1,0.0,0.0,0.0,0.0
1612038031523491,400.9,0.0,0.0,0.0,0.0
1612038031527491,400.8,0.0,0.0,0.0,0.0
1612038031531491,400.8,0.0,0.0,0.0,0.0
1612038031535491,401.1,0.0,0.0,0.0,0.0
1612038031539491,400.8,0.0,0.0,0.0,0.0
1612038031543491,400.8,0.0,0.0,0.0,0.0
1612038031547491,401.2,0.0,0.0,0.0,0.0
1612038031551491,400.0,0.0,0.0,0.0,0.0
1612038031555491,400.1,0.0,0.0,0.0,0.0
1612038031559491,400.3,0.0,0.0,0.0,0.0
1612038031563491,401.0,0.0,0.0,0.0,0.0
1612038031567334,401.5,0.0,0.0,0.0,0.0
1612038031571334,401.3,0.0,0.0,0.0,0.0
1612038031575334,401.1,0.0,0.0,0.0,0.0
1612038031579334,401.3,0.0,0.0,0.0,0.0
1612038031583334,401.2,0.0,0.0,0.0,0.0
1612038031587334,401.0,0.0,0.0,0.0,0.0
1612038031591334,401.1,0.0,0.0,0.0,0.0
1612038031595334,400.7,0.0,0.0,0.0,0.0
1612038031599334,401.9,0.0,0.0,0.0,0.0
1612038031603334,401.3,0.0,0.0,0.0,0.0
1612038031607334,400.9,0.0,0.0,0.0,0.0
1612038031611334,400.9,0.0,0.0,0.0,0.0
1612038031615334,400.6,0.0,0.0,0.0,0.0
1612038031619334,400.9,0.0,0.0,0.0,0.0
1612038031623334,400.4,0.0,0.0,0.0,0.0
1612038031627334,400.1,0.0,0.0,0.0,0.0
1612038031631334,400.6,0.0,0.0,0.0,0.0
1612038031635334,400.7,0.0,0.0,0.0,0.0
1612038031639334,401.1,0.0,0.0,0.0,0.0
1612038031643334,402.2,0.0,0.0,0.0,0.0
1612038031647334,400.7,0.0,0.0,0.0,0.0
1612038031651334,400.8,0.0,0.0,0.0,0.0
1612038031655334,400.9,0.0,0.0,0.0,0.0
1612038031659334,400.9,0.0,0.0,0.0,0.0
1612038031663334,400.1,0.0,0.0,0.0,0.0
1612038031667334,401.1,0.0,0.0,0.0,0.0
1612038031671334,401.1,0.0,0.0,0.0,0.0
1612038031675334,400.8,0.0,0.0,0.0,0.0
1612038031679334,400.4,0.0,0.0,0.0,0.0
1612038031683334,400.9,0.0,0.0,0.0,0.0
1612038031687334,400.3,0.0,0.0,0.0,0.0
1612038031691334,400.1,0.0,0.0,0.0,0.0
1612038031695334,400.0,0.0,0.0,0.0,0.0
1612038031699334,400.3,0.0,0.0,0.0,0.0
1612038031703334,400.2,0.0,0.0,0.0,0.0
1612038031707334,401.2,0.0,0.0,0.0,0.0
1612038031711334,400.5,0.0,0.0,0.0,0.0
1612038031715334,400.5,0.0,0.0,0.0,0.0
1612038031719334,400.5,0.0,0.0,0.0,0.0
1612038031723334,400.2,0.0,0.0,0.0,0.0
1612038031727334,399.9,0.0,0.0,0.0,0.0
1612038031731334,400.5,0.0,0.0,0.0,0.0
1612038031735334,403.3,0.0,0.0,0.0,0.0
1612038031739334,400.5,0.0,0.0,0.0,0.0
1612038031743334,400.1,0.0,0.0,0.0,0.0
1612038031747334,400.9,0.0,0.0,0.0,0.0
1612038031751334,400.7,0.0,0.0,0.0,0.0
1612038031755334,401.0,0.0,0.0,0.0,0.0
1612038031759179,400.6,0.0,0.0,0.0,0.0
1612038031763179,401.3,0.0,0.0,0.0,0.0
1612038031767179,401.4,0.0,0.0,0.0,0.0
1612038031771179,401.6,0.0,0.0,0.0,0.0
1612038031775179,401.5,0.0,0.0,0.0,0.0
1612038031779179,403.0,0.0,0.0,0.0,0.0
1612038031783179,401.7,0.0,0.0,0.0,0.0
1612038031787179,402.2,0.0,0.0,0.0,0.0
1612038031791179,403.1,0.0,0.0,0.0,0.0
1612038031795179,403.6,0.0,0.0,0.0,0.0
1612038031799179,403.9,0.0,0.0,0.0,0.0
1612038031803179,404.8,0.0,0.0,0.0,0.0
1612038031807179,405.8,0.0,0.0,0.0,0.0
1612038031811179,406.2,0.0,0.0,0.0,0.0
1612038031815179,406.5,0.0,0.0,0.0,0.0
1612038031819179,407.9,0.0,0.0,0.0,0.0
1612038031823179,404.9,0.0,0.0,0.0,0.0
1612038031827179,408.4,0.0,0.0,0.0,0.0
1612038031831179,409.4,0.0,0.0,0.0,0.0
1612038031835179,410.6,0.0,0.0,0.0,0.0
1612038031839179,411.4,0.0,0.0,0.0,0.0
1612038031843179,411.9,0.0,0.0,0.0,0.0
1612038031847179,412.8,0.0,0.0,0.0,0.0
1612038031851179,413.8,0.0,0.0,0.0,0.0
1612038031855179,414.6,0.0,0.0,0.0,0.0
1612038031859179,415.4,0.0,0.0,0.0,0.0
1612038031863179,416.3,0.0,0.0,0.0,0.0
1612038031867179,417.2,0.0,0.0,0.0,0.0
1612038031871179,419.0,0.0,0.0,0.0,0.0
1612038031875179,418.5,0.0,0.0,0.0,0.0
1612038031879179,420.5,0.0,0.0,0.0,0.0
1612038031883179,421.4,0.0,0.0,0.0,0.0
1612038031887179,422.3,0.0,0.0,0.0,0.0
1612038031891179,424.2,0.0,0.0,0.0,0.0
1612038031895179,425.3,0.0,0.0,0.0,0.0
1612038031899179,426.7,0.0,0.0,0.0,0.0
1612038031903179,427.5,0.0,0.0,0.0,0.0
1612038031907179,429.3,0.0,0.0,0.0,0.0
1612038031911179,429.3,0.0,0.0,0.0,0.0
1612038031915179,431.7,0.0,0.0,0.0,0.0
1612038031919179,432.4,0.0,0.0,0.0,0.0
1612038031923179,433.6,0.0,0.0,0.0,0.0
1612038031927179,435.2,0.0,0.0,0.0,0.0
1612038031931179,436.0,0.0,0.0,0.0,0.0
1612038031935179,437.5,0.0,0.0,0.0,0.0
1612038031939179,438.1,0.0,0.0,0.0,0.0
1612038031943179,439.5,0.0,0.0,0.0,0.0
1612038031947179,440.5,0.0,0.0,0.0,0.0
1612038031951025,440.9,0.0,0.0,0.0,0.0
1612038031955025,441.2,0.0,0.0,0.0,0.0
1612038031959025,445.1,0.0,0.0,0.0,0.0
1612038031963025,441.4,0.0,0.0,0.0,0.0
1612038031967025,443.4,0.0,0.0,0.0,0.0
1612038031971025,443.5,0.0,0.0,0.0,0.0
1612038031975025,444.2,0.0,0.0,0.0,0.0
1612038031979025,444.7,0.0,0.0,0.0,0.0
1612038031983025,445.0,0.0,0.0,0.0,0.0
1612038031987025,444.6,0.0,0.0,0.0,0.0
1612038031991025,444.7,0.0,0.0,0.0,0.0
1612038031995025,443.9,0.0,0.0,0.0,0.0
1612038031999025,443.9,0.0,0.0,0.0,0.0
1612038032003025,436.7,0.0,0.0,0.0,0.0
1612038032007025,446.3,0.0,0.0,0.0,0.0
1612038032011025,442.6,0.0,0.0,0.0,0.0
1612038032015025,441.9,0.0,0.0,0.0,0.0
1612038032019025,440.7,0.0,0.0,0.0,0.0
1612038032023025,440.5,0.0,0.0,0.0,0.0
1612038032027025,439.8,0.0,0.0,0.0,0.0
1612038032031025,439.5,0.0,0.0,0.0,0.0
1612038032035025,438.7,0.0,0.0,0.0,0.0
1612038032039025,437.6,0.0,0.0,0.0,0.0
1612038032043025,437.2,0.0,0.0,0.0,0.0
1612038032047025,431.1,0.0,0.0,0.0,0.0
1612038032051025,434.2,0.0,0.0,0.0,0.0
1612038032055025,434.2,0.0,0.0,0.0,0.0
1612038032059025,433.1,0.0,0.0,0.0,0.0
1612038032063025,432.1,0.0,0.0,0.0,0.0
1612038032067025,431.0,0.0,0.0,0.0,0.0
1612038032071025,429.9,0.0,0.0,0.0,0.0
1612038032075025,429.6,0.0,0.0,0.0,0.0
1612038032079025,428.6,0.0,0.0,0.0,0.0
1612038032083025,427.9,0.0,0.0,0.0,0.0
1612038032087025,426.6,0.0,0.0,0.0,0.0
1612038032091025,426.2,0.0,0.0,0.0,0.0
1612038032095025,424.3,0.0,0.0,0.0,0.0
1612038032099025,423.4,0.0,0.0,0.0,0.0
1612038032103025,422.5,0.0,0.0,0.0,0.0
1612038032107025,421.3,0.0,0.0,0.0,0.0
1612038032111025,420.4,0.0,0.0,0.0,0.0
1612038032115025,419.1,0.0,0.0,0.0,0.0
1612038032119025,418.5,0.0,0.0,0.0,0.0
1612038032123025,416.8,0.0,0.0,0.0,0.0
1612038032127025,415.5,0.0,0.0,0.0,0.0
1612038032131025,415.6,0.0,0.0,0.0,0.0
1612038032135025,414.0,0.0,0.0,0.0,0.0
1612038032139025,409.6,0.0,0.0,0.0,0.0
1612038032142875,411.8,0.0,0.0,0.0,0.0
1612038032146875,410.4,0.0,0.0,0.0,0.0
1612038032150875,410.1,0.0,0.0,0.0,0.0
1612038032154875,409.7,0.0,0.0,0.0,0.0
1612038032158875,407.9,0.0,0.0,0.0,0.0
1612038032162875,407.4,0.0,0.0,0.0,0.0
1612038032166875,406.7,0.0,0.0,0.0,0.0
1612038032170875,406.8,0.0,0.0,0.0,0.0
1612038032174875,405.5,0.0,0.0,0.0,0.0
1612038032178875,405.6,0.0,0.0,0.0,0.0
1612038032182875,408.2,0.0,0.0,0.0,0.0
1612038032186875,404.0,0.0,0.0,0.0,0.0
1612038032190875,404.1,0.0,0.0,0.0,0.0
1612038032194875,403.4,0.0,0.0,0.0,0.0
1612038032198875,403.8,0.0,0.0,0.0,0.0
1612038032202875,403.5,0.0,0.0,0.0,0.0
1612038032206875,403.4,0.0,0.0,0.0,0.0
1612038032210875,402.8,0.0,0.0,0.0,0.0
1612038032214875,403.2,0.0,0.0,0.0,0.0
1612038032218875,402.4,0.0,0.0,0.0,0.0
1612038032222875,402.5,0.0,0.0,0.0,0.0
1612038032226875,406.7,0.0,0.0,0.0,0.0
1612038032230875,401.5,0.0,0.0,0.0,0.0
1612038032234875,401.7,0.0,0.0,0.0,0.0
1612038032238875,401.8,0.0,0.0,0.0,0.0
1612038032242875,401.7,0.0,0.0,0.0,0.0
1612038032246875,401.2,0.0,0.0,0.0,0.0
1612038032250875,401.0,0.0,0.0,0.0,0.0
1612038032254875,401.8,0.0,0.0,0.0,0.0
1612038032258875,401.9,0.0,0.0,0.0,0.0
1612038032262875,402.0,0.0,0.0,0.0,0.0
1612038032266875,401.9,0.0,0.0,0.0,0.0
1612038032270875,400.1,0.0,0.0,0.0,0.0
1612038032274875,401.5,0.0,0.0,0.0,0.0
1612038032278875,401.5,0.0,0.0,0.0,0.0
1612038032282875,401.4,0.0,0.0,0.0,0.0
1612038032286875,401.2,0.0,0.0,0.0,0.0
1612038032290875,402.0,0.0,0.0,0.0,0.0
1612038032294875,401.5,0.0,0.0,0.0,0.0
1612038032298875,401.4,0.0,0.0,0.0,0.0
1612038032302875,401.7,0.0,0.0,0.0,0.0
1612038032306875,401.4,0.0,0.0,0.0,0.0
1612038032310875,401.5,0.0,0.0,0.0,0.0
1612038032314875,401.8,0.0,0.0,0.0,0.0
1612038032318875,401.8,0.0,0.0,0.0,0.0
1612038032322875,400.7,0.0,0.0,0.0,0.0
1612038032326875,401.0,0.0,0.0,0.0,0.0
1612038032330875,401.6,0.0,0.0,0.0,0.0
1612038032334713,400.9,0.0,0.0,0.0,0.0
1612038032338713,401.2,0.0,0.0,0.0,0.0
1612038032342713,401.4,0.0,0.0,0.0,0.0
1612038032346713,401.3,0.0,0.0,0.0,0.0
1612038032350713,401.2,0.0,0.0,0.0,0.0
1612038032354713,401.2,0.0,0.0,0.0,0.0
1612038032358713,401.0,0.0,0.0,0.0,0.0
1612038032362713,402.0,0.0,0.0,0.0,0.0
1612038032366713,402.6,0.0,0.0,0.0,0.0
1612038032370713,401.6,0.0,0.0,0.0,0.0
1612038032374713,401.6,0.0,0.0,0.0,0.0
1612038032378713,401.4,0.0,0.0,0.0,0.0
1612038032382713,402.3,0.0,0.0,0.0,0.0
1612038032386713,402.6,0.0,0.0,0.0,0.0
1612038032390713,402.6,0.0,0.0,0.0,0.0
1612038032394713,402.2,0.0,0.0,0.0,0.0
1612038032398713,402.2,0.0,0.0,0.0,0.0
1612038032402713,401.0,0.0,0.0,0.0,0.0
1612038032406713,403.5,0.0,0.0,0.0,0.0
1612038032410713,404.0,0.0,0.0,0.0,0.0
