PARTICIPANT	TRIAL	R^2	RMSE	MAE
P007	SQUAT	0.954386514690964	9.188376071477412	7.502768587399016
P007	WALK1	0.12924264404212826	17.115055060772324	11.084185951309554
P007	WALK2	0.3666564750189273	10.75773497871558	9.121939337374306
P007	WALK3	0.4587486341033594	9.759187770305232	8.48390983611318
P007	WALK4	0.3807051083798153	10.372550837212957	8.81387791056663
P007	WALK5	0.2782905678174	11.833138918302158	10.506785501966023
P007	WALK6	0.2826421058092581	11.396553648666588	9.861055707667168
P008	FLEX	0.5395410724862715	5.518289875047864	4.384864250501183
P008	SQUAT	0.9446149442359747	8.549952446534848	7.002433331528698
P008	WALK1	0.3969619602586796	12.833656197450527	11.112545308443524
P008	WALK2	0.17583546299036545	10.834013778914517	9.391606295599786
P008	WALK3	0.1827703757121718	14.299254381816498	11.988745512903739
P008	WALK4	0.27468135784702064	12.187417407364226	10.094378844680419
P008	WALK5	-	-	-
P008	WALK6	0.09473798465110261	13.373894575835514	11.438630300012495
P009	FLEX	0.6909971622294259	4.798382944157597	4.094334654836453
P009	SQUAT	0.9786769302070589	6.376808921896714	5.532871203001337
P009	WALK1	0.6957360081048822	7.509716848884607	6.1582806032073565
P009	WALK2	0.5517545317781881	9.757312293806093	8.048135180819944
P009	WALK3	0.5951534284482566	9.219403624981863	7.701151691441382
P009	WALK4	0.548460068905372	10.043675175583516	8.076728111942911
P009	WALK5	0.48659861661329973	10.020419966877744	8.4770376435092
P009	WALK6	0.5594847561418248	9.430581281746102	7.650882488685171
P010	FLEX	0.7959802327256849	6.52633793485164	5.3195166602177775
P010	SQUAT	0.9756629243097991	7.731818509759517	6.25319802290593
P010	WALK1	0.14000132780830676	12.33375340320574	10.358386803382883
P010	WALK2	0.4509535911584662	10.75373758459962	8.677172844516287
P010	WALK3	0.38554012433006424	11.381373166283757	9.384867658773633
P010	WALK4	0.4144191291474033	10.620381223534915	8.775097512150642
P010	WALK5	0.509371638536194	9.58756775982538	8.061530435592484
P010	WALK6	0.4564447176786586	11.009528177604832	9.267627422934146
P011	FLEX	0.7594625537979174	3.8625846570139353	3.326026005105024
P011	SQUAT	0.97195275358457	7.364198434318444	6.14791472781159
P011	WALK1	0.3407257226834416	10.19504954334062	8.75793002860877
P011	WALK2	0.5495409767785266	8.535711521836337	6.817295835035812
P011	WALK3	0.5048560431382196	9.104112727675021	7.80308949042026
P011	WALK4	0.5236076649862735	8.472237624113953	6.889610176057832
P011	WALK5	0.5932911847555561	8.0758493144101	6.475679362316422
P011	WALK6	0.47940676718895403	9.232660514241783	7.466113701991952
P012	FLEX	0.5658973764272601	5.461563585311613	4.251901796293184
P012	SQUAT	0.7857914704881356	20.16379794260753	17.005628453388447
P012	WALK1	0.06621386811354468	10.3798104729403	8.826344678918856
P012	WALK2	0.39693502531615976	8.609305480376594	7.504333156263588
P012	WALK3	0.3322800187483683	10.566681590236481	9.178635675640432
