Time,R_IEV,R_FLX,L_IEV,L_FLX,R_PFX,R_INV,R_DFX,R_EVR,R_HEEL,L_HEEL,L_EVR,L_DFX,L_INV,L_PFX
2020-10-01 20:48:01.351933+00:00,,,,,524.4,492.5,514.0,566.6,380.9,404.6,615.01,556.65,599.88,683.63
2020-10-01 20:48:01.359933+00:00,,,,,524.4,491.9,514.0,566.4,381.2,404.32,614.93,556.74,599.66,683.47
2020-10-01 20:48:01.367933+00:00,,,,,524.5,491.9,513.6,566.1,381.3,403.9,614.52,557.58,600.93,683.18
2020-10-01 20:48:01.375933+00:00,,,,,525.2,492.3,513.7,565.8,381.0,404.25,614.9,557.95,601.21,684.73
2020-10-01 20:48:01.383933+00:00,,,,,524.9,492.3,514.5,566.8,381.5,404.55,614.43,556.39,599.47,683.71
2020-10-01 20:48:01.391933+00:00,,,,,524.7,492.4,513.8,565.8,381.0,404.8,614.47,556.64,599.78,683.79
2020-10-01 20:48:01.399933+00:00,,,,,525.0,492.5,513.6,566.0,380.6,404.57,614.89,556.45,599.86,683.49
2020-10-01 20:48:01.407933+00:00,,,,,524.6,492.3,513.7,566.5,381.5,404.5,614.3,556.32,599.9,683.73
2020-10-01 20:48:01.415933+00:00,,,,,524.6,492.1,513.9,565.9,381.4,404.78,614.18,556.65,600.45,683.52
2020-10-01 20:48:01.423933+00:00,,,,,524.9,492.1,513.5,566.3,381.5,404.91,614.96,556.65,599.65,683.25
2020-10-01 20:48:01.431933+00:00,,,,,525.39,492.2,512.21,563.28,378.4,404.2,614.72,556.27,599.95,683.83
2020-10-01 20:48:01.439933+00:00,,,,,524.58,492.1,513.74,565.89,381.38,404.76,614.27,556.17,599.99,683.57
2020-10-01 20:48:01.447933+00:00,,,,,524.81,492.0,513.79,566.28,381.08,404.97,614.48,555.87,599.89,683.63
2020-10-01 20:48:01.455933+00:00,,,,,524.8,491.9,513.68,565.89,381.42,404.94,614.77,556.24,599.93,683.52
2020-10-01 20:48:01.463933+00:00,,,,,525.13,492.11,513.09,565.58,381.27,404.07,614.53,556.72,600.09,683.12
2020-10-01 20:48:01.471933+00:00,,,,,525.58,491.95,513.3,565.0,380.59,405.26,614.88,555.91,599.9,683.5
2020-10-01 20:48:01.479933+00:00,,,,,524.59,490.81,513.2,565.53,381.14,404.76,614.2,556.51,599.84,683.19
2020-10-01 20:48:01.487933+00:00,,,,,525.1,492.22,513.52,566.11,381.47,405.04,614.03,555.94,599.37,683.58
2020-10-01 20:48:01.495933+00:00,,,,,524.58,491.58,513.79,566.19,380.4,405.28,614.62,555.75,599.23,683.74
2020-10-01 20:48:01.503933+00:00,,,,,524.71,491.61,513.28,566.0,381.44,405.69,615.08,555.39,598.8,683.16
2020-10-01 20:48:01.511933+00:00,,,,,524.68,491.59,513.11,566.19,381.24,405.39,614.39,555.48,599.11,683.2
2020-10-01 20:48:01.519933+00:00,,,,,524.22,491.39,513.17,565.68,379.82,405.64,614.13,555.32,599.02,683.1
2020-10-01 20:48:01.527933+00:00,,,,,525.22,491.31,512.2,565.39,381.64,405.67,614.69,555.46,599.33,683.2
2020-10-01 20:48:01.535933+00:00,,,,,524.89,491.82,513.22,565.41,381.29,405.38,614.54,554.8,599.26,683.25
2020-10-01 20:48:01.543933+00:00,,,,,524.79,491.99,512.88,565.82,381.7,406.62,614.24,554.64,598.06,682.55
2020-10-01 20:48:01.551933+00:00,,,,,524.63,491.94,513.16,566.55,381.31,408.48,615.96,555.02,596.57,680.82
2020-10-01 20:48:01.559933+00:00,,,,,524.34,491.42,512.79,565.7,381.1,405.81,614.13,555.04,598.39,683.03
2020-10-01 20:48:01.567933+00:00,,,,,519.92,486.31,506.92,560.52,378.33,405.67,614.2,555.27,598.63,682.49
2020-10-01 20:48:01.575933+00:00,,,,,524.95,491.45,513.08,565.86,382.0,406.16,613.87,554.75,598.76,683.02
2020-10-01 20:48:01.583933+00:00,,,,,524.97,491.46,512.74,565.86,381.65,406.13,613.89,554.68,598.27,682.98
2020-10-01 20:48:01.591933+00:00,,,,,525.12,491.51,512.51,565.69,381.22,406.55,614.15,554.29,597.58,682.41
2020-10-01 20:48:01.599933+00:00,,,,,525.4,492.04,513.15,565.43,381.79,408.04,614.77,553.89,596.37,680.15
2020-10-01 20:48:01.607933+00:00,,,,,524.84,492.44,513.42,566.05,381.2,406.24,613.99,554.48,598.07,682.22
2020-10-01 20:48:01.615933+00:00,,,,,523.41,490.18,510.57,563.78,381.81,406.21,614.07,555.09,598.02,681.94
