Time,R_IEV,R_FLX,R_INV,R_DFX,R_EVR,R_PFX,R_HEEL
2020-10-20 21:33:29.685004+00:00,,,,,,,
2020-10-20 21:33:29.693004+00:00,,,,,,,
2020-10-20 21:33:29.701004+00:00,,,,,,,
2020-10-20 21:33:29.709004+00:00,,,,,,,
2020-10-20 21:33:29.717004+00:00,,,,,,,
2020-10-20 21:33:29.725004+00:00,,,,,,,
2020-10-20 21:33:29.733004+00:00,,,,,,,
2020-10-20 21:33:29.741004+00:00,,,,,,,
2020-10-20 21:33:29.749004+00:00,,,,,,,
2020-10-20 21:33:29.757004+00:00,,,,,,,
2020-10-20 21:33:29.765004+00:00,,,,,,,
2020-10-20 21:33:29.773004+00:00,,,517.0,508.1,560.6,640.2,368.3
2020-10-20 21:33:29.781004+00:00,,,517.4,507.8,560.2,639.8,368.4
2020-10-20 21:33:29.789004+00:00,,,517.6,508.2,560.2,638.9,368.0
2020-10-20 21:33:29.797004+00:00,,,517.0,508.6,560.6,639.8,368.4
2020-10-20 21:33:29.805004+00:00,,,517.5,508.3,559.8,639.4,368.2
2020-10-20 21:33:29.813004+00:00,,,514.5,506.9,560.8,640.3,368.7
2020-10-20 21:33:29.821004+00:00,,,517.6,507.6,560.5,639.9,368.4
2020-10-20 21:33:29.829004+00:00,,,517.6,508.6,560.4,639.5,368.1
2020-10-20 21:33:29.837004+00:00,,,517.4,508.6,560.6,639.1,368.1
2020-10-20 21:33:29.845004+00:00,,,517.3,508.6,560.4,639.7,368.3
2020-10-20 21:33:29.853004+00:00,,,517.5,508.7,560.9,639.8,368.1
2020-10-20 21:33:29.861004+00:00,,,517.3,508.4,560.6,639.7,368.3
2020-10-20 21:33:29.869004+00:00,,,517.2,508.1,560.4,639.8,368.4
2020-10-20 21:33:29.877004+00:00,,,517.2,508.9,560.4,639.7,368.3
2020-10-20 21:33:29.885004+00:00,,,516.9,507.7,560.6,639.3,368.3
2020-10-20 21:33:29.893004+00:00,,,517.3,507.8,560.4,639.7,368.3
2020-10-20 21:33:29.901004+00:00,,,517.8,508.9,560.9,639.9,368.8
2020-10-20 21:33:29.909004+00:00,,,517.4,508.0,560.3,639.4,368.2
2020-10-20 21:33:29.917004+00:00,,,516.9,508.2,560.0,639.6,368.6
2020-10-20 21:33:29.925004+00:00,,,517.1,508.4,560.2,639.8,368.6
2020-10-20 21:33:29.933004+00:00,,,517.6,508.6,560.4,638.9,368.6
2020-10-20 21:33:29.941004+00:00,,,517.7,508.3,560.2,639.3,368.2
2020-10-20 21:33:29.949004+00:00,,,516.0,506.4,558.4,638.5,368.0
2020-10-20 21:33:29.957004+00:00,,,517.6,508.4,560.3,639.4,368.2
2020-10-20 21:33:29.965004+00:00,,,516.8,508.1,560.6,640.1,367.7
2020-10-20 21:33:29.973004+00:00,,,517.5,508.8,560.7,639.6,368.4
2020-10-20 21:33:29.981004+00:00,,,517.0,508.6,560.4,639.2,368.2
2020-10-20 21:33:29.989004+00:00,,,517.7,507.6,559.5,639.5,368.6
2020-10-20 21:33:29.997004+00:00,,,517.8,508.3,560.3,639.6,368.1
2020-10-20 21:33:30.005004+00:00,,,517.5,508.3,560.2,639.5,368.6
2020-10-20 21:33:30.013004+00:00,,,517.7,508.4,560.5,639.5,368.3
2020-10-20 21:33:30.021004+00:00,,,517.3,508.4,560.5,640.0,368.3
2020-10-20 21:33:30.029004+00:00,,,517.2,508.6,560.8,639.7,368.1
2020-10-20 21:33:30.037004+00:00,,,517.5,507.4,559.4,639.8,369.2
2020-10-20 21:33:30.045004+00:00,,,517.2,508.2,560.4,639.6,368.7
2020-10-20 21:33:30.053004+00:00,,,517.6,508.0,560.4,639.5,368.2
2020-10-20 21:33:30.061004+00:00,,,517.8,508.4,560.1,638.9,368.7
2020-10-20 21:33:30.069004+00:00,,,516.9,508.2,560.8,639.6,368.1
2020-10-20 21:33:30.077004+00:00,,,517.4,508.6,560.9,639.6,368.2
2020-10-20 21:33:30.085004+00:00,,,518.5,508.3,559.3,638.9,368.1
2020-10-20 21:33:30.093004+00:00,,,517.0,507.6,559.8,640.0,368.4
2020-10-20 21:33:30.101004+00:00,,,517.5,508.4,559.9,639.7,368.2
2020-10-20 21:33:30.109004+00:00,,,517.8,508.6,559.9,639.8,368.3
2020-10-20 21:33:30.117004+00:00,,,517.2,508.6,560.0,638.9,368.2
2020-10-20 21:33:30.125004+00:00,,,517.2,509.2,561.6,639.3,367.3
2020-10-20 21:33:30.133004+00:00,,,516.7,507.4,560.4,640.0,368.3
2020-10-20 21:33:30.141004+00:00,,,517.1,507.7,559.8,640.0,368.6
2020-10-20 21:33:30.149004+00:00,,,517.7,508.0,559.7,639.7,368.6
2020-10-20 21:33:30.157004+00:00,,,517.19,508.1,560.3,639.59,367.8
2020-10-20 21:33:30.165004+00:00,,,517.41,508.56,560.25,639.17,367.84
2020-10-20 21:33:30.173004+00:00,,,517.18,509.67,562.0,638.83,366.01
2020-10-20 21:33:30.181004+00:00,,,516.82,507.65,560.13,639.91,368.49
2020-10-20 21:33:30.189004+00:00,,,517.71,507.71,559.72,639.51,369.18
2020-10-20 21:33:30.197004+00:00,,,517.5,507.81,560.08,640.09,368.37
2020-10-20 21:33:30.205004+00:00,,,518.02,508.1,559.31,639.29,368.0
2020-10-20 21:33:30.213004+00:00,,,518.08,508.0,560.22,639.72,368.1
2020-10-20 21:33:30.221004+00:00,,,517.27,508.2,560.0,639.8,368.01
2020-10-20 21:33:30.229004+00:00,,,516.79,507.77,560.19,640.01,368.73
2020-10-20 21:33:30.237004+00:00,,,516.7,507.2,559.69,639.88,368.88
2020-10-20 21:33:30.245004+00:00,,,517.03,507.83,559.9,639.08,368.09
2020-10-20 21:33:30.253004+00:00,,,517.69,507.98,559.81,639.34,368.52
2020-10-20 21:33:30.261004+00:00,,,517.13,507.39,560.09,640.29,368.6
2020-10-20 21:33:30.269004+00:00,,,518.61,507.71,559.5,639.07,368.58
