Sequence, Sample Number, Time, Sensor Value,,,,,,,,,
0,165,0,636.3,662.3,486.4,622.4,0,0,0,0,0,738.493737
0,166,0.05924499,637,662.6,486.7,622.8,0,0,0,0,0,738.552982
0,167,0.089629054,636.7,662.5,486.5,622.6,0,0,0,0,0,738.583366
0,168,0.119459033,636.3,662.8,486.6,622.9,0,0,0,0,0,738.613196
0,169,0.17988503,636.8,663,486.4,622.8,0,0,0,0,0,738.673622
0,170,0.209210992,636.3,662.2,486.8,622.9,0,0,0,0,0,738.702948
0,171,0.23863399,636.6,662.5,486.8,622.9,0,0,0,0,0,738.732371
0,172,0.29884696,636.7,662.5,486.9,622.7,0,0,0,0,0,738.7925839
0,173,0.32882297,637,662.6,486.4,622.8,0,0,0,0,0,738.82256
0,174,0.358761072,636.5,662.7,486.6,622.9,0,0,0,0,0,738.8524981
0,175,0.418678999,636.7,662.3,486.6,623.2,0,0,0,0,0,738.912416
0,176,0.44869101,636.2,662.5,486.9,623.3,0,0,0,0,0,738.942428
0,177,0.478790045,636.5,662.1,486.6,623.2,0,0,0,0,0,738.972527
0,178,0.538863063,636.7,662.4,486.9,623.1,0,0,0,0,0,739.0326
0,179,0.568755031,636.7,662.4,486.5,623,0,0,0,0,0,739.062492
0,180,0.599606037,636.7,662.4,486.9,623.1,0,0,0,0,0,739.093343
0,181,0.659693956,636.7,662.8,486.7,622.7,0,0,0,0,0,739.1534309
0,182,0.689718962,636.5,662.5,486.7,623,0,0,0,0,0,739.1834559
0,183,0.719347,637,662.4,486.6,622.7,0,0,0,0,0,739.213084
0,184,0.779706955,636.9,662.5,486.6,623,0,0,0,0,0,739.2734439
0,185,0.810078025,637.1,662.4,486.8,622.8,0,0,0,0,0,739.303815
0,186,0.839643002,636.9,662.2,486.6,622.9,0,0,0,0,0,739.33338
0,187,0.899265051,636.6,662.2,486.7,623,0,0,0,0,0,739.393002
0,188,0.929429054,636.6,662.2,486.6,622.5,0,0,0,0,0,739.423166
0,189,0.959079981,637.2,662.3,486.4,622.9,0,0,0,0,0,739.452817
0,190,1.019160032,637.1,662.7,486.7,622.7,0,0,0,0,0,739.512897
0,191,1.049386024,636.7,662.2,486.4,623.1,0,0,0,0,0,739.543123
0,192,1.080728054,637.2,662,486.2,622.2,0,0,0,0,0,739.574465
0,193,1.138967991,637.3,661.6,486.2,622.3,0,0,0,0,0,739.632705
0,194,1.168889999,637.9,662.1,486.2,622.6,0,0,0,0,0,739.662627
0,195,1.199157,638,662,486,621.9,0,0,0,0,0,739.692894
0,196,1.260310054,637.5,662.1,486.1,622.1,0,0,0,0,0,739.754047
0,197,1.289522052,637.6,662.6,486.3,622.4,0,0,0,0,0,739.783259
0,198,1.319380999,637,662.4,486.3,622.7,0,0,0,0,0,739.813118
0,199,1.379801989,635.2,663.7,487.9,624.1,0,0,0,0,0,739.873539
0,200,1.409417033,629.8,667.1,493.2,626.9,0,0,0,0,0,739.903154
0,201,1.439007044,621.5,672.9,502.5,630.4,0,0,0,0,0,739.932744
0,202,1.499094009,597.8,682.9,525.9,644.9,0,0,0,0,0,739.992831
0,203,1.529790044,568.9,691.8,558.6,667.2,0,0,0,0,0,740.023527
0,204,1.559545994,559.4,699.2,590.6,687.5,0,0,0,0,0,740.053283
0,205,1.619520068,557.9,702.7,617.8,704.3,0,0,0,0,0,740.1132571
0,206,1.650392056,556.2,707.3,638.1,714,0,0,0,0,0,740.144129
0,207,1.679736972,555.3,712.6,657.8,717,0,0,0,0,0,740.173474
0,208,1.738968968,555.4,717.9,679,720.3,0,0,0,0,0,740.232706
0,209,1.768949986,554.8,721.3,707.3,728.4,0,0,0,0,0,740.262687
0,210,1.799687982,554.9,718.9,733.5,742,0,0,0,0,0,740.293425
0,211,1.859441996,555.4,717.5,747.3,748.2,0,0,0,0,0,740.353179
0,212,1.889322996,555.2,715.9,754.3,751.9,0,0,0,0,0,740.38306
0,213,1.919371009,554.7,713.3,758.5,757.6,0,0,0,0,0,740.413108
0,214,1.979469061,554.8,710.7,759.4,762.2,0,0,0,0,0,740.473206
0,215,2.009214044,554.7,708.8,760.4,766.1,0,0,0,0,0,740.502951
0,216,2.038836002,554.8,705.8,760.4,769.7,0,0,0,0,0,740.532573
0,217,2.099321008,554.4,704.9,759.9,771.7,0,0,0,0,0,740.593058
0,218,2.129610062,554.5,704.6,758.9,771.3,0,0,0,0,0,740.623347
0,219,2.159337044,554,703.1,755.5,767.3,0,0,0,0,0,740.653074
0,220,2.219357014,553.9,698.6,744.1,760.8,0,0,0,0,0,740.713094
0,221,2.249269009,553,697.4,717.6,747.8,0,0,0,0,0,740.743006
0,222,2.27956903,551.4,699.2,670.1,726.9,0,0,0,0,0,740.773306
0,223,2.338903069,549.4,699,621,704.2,0,0,0,0,0,740.8326401
0,224,2.368983984,551,692.4,585.5,696.7,0,0,0,0,0,740.862721
0,225,2.399087071,558.7,684.3,561.1,690.5,0,0,0,0,0,740.8928241
0,226,2.459511042,570.8,677.9,542.9,683.5,0,0,0,0,0,740.953248
0,227,2.489467978,582.9,673.4,527.2,674.3,0,0,0,0,0,740.983205
0,228,2.519404054,595.2,668.2,513.9,664.2,0,0,0,0,0,741.013141
0,229,2.579810023,607.5,663.9,503.4,653.1,0,0,0,0,0,741.073547
0,230,2.609856963,617.4,660.8,496.9,643.1,0,0,0,0,0,741.1035939
0,231,2.639157057,627.7,657.8,492.8,633.9,0,0,0,0,0,741.132894
0,232,2.699849963,635.3,655.6,490.7,625.9,0,0,0,0,0,741.1935869
0,233,2.729654074,640.9,653,488.9,621.1,0,0,0,0,0,741.2233911
